CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,CONV,NVA_ALIANZA,PSD,PRIMERO_MEXICO,SALVEMOS_MEXICO,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,155,2,80.0,179.0,66.0,40.0,9.0,3.0,5.0,1.0,18.0,1.0,0.0,34.0,436.0,1307
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,156,2,79.0,162.0,55.0,43.0,19.0,4.0,12.0,8.0,36.0,0.0,0.0,45.0,463.0,1430
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,157,2,60.0,176.0,48.0,44.0,19.0,6.0,13.0,2.0,16.0,0.0,3.0,38.0,425.0,1375
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,158,2,75.0,178.0,43.0,84.0,13.0,5.0,11.0,3.0,17.0,0.0,0.0,33.0,462.0,1202
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,159,2,75.0,210.0,52.0,30.0,10.0,8.0,10.0,2.0,47.0,0.0,0.0,31.0,475.0,1450
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,161,4,312.0,223.0,58.0,77.0,20.0,10.0,23.0,24.0,11.0,4.0,10.0,136.0,908.0,2411
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,162,1,71.0,40.0,12.0,22.0,8.0,4.0,3.0,4.0,2.0,0.0,2.0,15.0,183.0,514
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,163,4,123.0,275.0,98.0,68.0,21.0,8.0,18.0,6.0,31.0,3.0,1.0,45.0,697.0,2304
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,164,6,296.0,522.0,153.0,130.0,45.0,23.0,35.0,23.0,38.0,1.0,3.0,98.0,1367.0,4025
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,165,2,75.0,186.0,49.0,43.0,6.0,0.0,3.0,3.0,37.0,1.0,0.0,19.0,422.0,1102
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,166,4,181.0,398.0,85.0,86.0,29.0,6.0,43.0,6.0,62.0,1.0,2.0,63.0,962.0,2837
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,167,3,77.0,206.0,73.0,46.0,5.0,5.0,9.0,2.0,30.0,0.0,0.0,30.0,483.0,1522
