CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,107,2,154.0,144.0,172.0,29.0,10.0,4.0,19.0,56.0,47.0,11.0,0.0,0.0,1.0,19.0,666.0,1292
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,108,2,121.0,117.0,81.0,14.0,6.0,9.0,11.0,50.0,35.0,14.0,0.0,0.0,1.0,22.0,481.0,1059
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,109,2,157.0,136.0,152.0,20.0,17.0,6.0,15.0,51.0,47.0,9.0,4.0,1.0,0.0,29.0,644.0,1217
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,110,2,128.0,128.0,155.0,3.0,6.0,0.0,10.0,13.0,11.0,3.0,2.0,0.0,0.0,11.0,470.0,938
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,111,1,79.0,67.0,66.0,11.0,4.0,1.0,9.0,22.0,29.0,3.0,1.0,2.0,0.0,4.0,298.0,554
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,112,1,56.0,80.0,63.0,6.0,2.0,1.0,4.0,17.0,17.0,11.0,1.0,2.0,0.0,10.0,270.0,605
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,113,2,71.0,78.0,90.0,12.0,6.0,8.0,5.0,30.0,37.0,6.0,3.0,1.0,0.0,15.0,362.0,1078
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,114,1,56.0,83.0,60.0,4.0,9.0,5.0,12.0,18.0,14.0,15.0,0.0,0.0,0.0,5.0,281.0,730
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,115,2,74.0,97.0,83.0,15.0,8.0,3.0,13.0,23.0,12.0,8.0,2.0,0.0,1.0,14.0,353.0,978
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,116,2,107.0,173.0,124.0,13.0,11.0,4.0,20.0,47.0,14.0,8.0,1.0,0.0,3.0,9.0,534.0,975
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,117,2,186.0,170.0,138.0,20.0,4.0,12.0,13.0,52.0,31.0,2.0,3.0,0.0,1.0,31.0,663.0,1125
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,118,1,62.0,65.0,77.0,6.0,9.0,3.0,7.0,17.0,17.0,6.0,0.0,1.0,0.0,9.0,279.0,603
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,119,1,156.0,67.0,51.0,6.0,6.0,5.0,2.0,5.0,6.0,0.0,3.0,0.0,0.0,22.0,329.0,524
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,120,2,128.0,81.0,122.0,9.0,4.0,5.0,10.0,33.0,36.0,4.0,1.0,1.0,1.0,22.0,457.0,836
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,121,2,120.0,93.0,121.0,8.0,4.0,6.0,12.0,10.0,18.0,2.0,0.0,0.0,2.0,22.0,418.0,809
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,122,1,126.0,79.0,97.0,14.0,14.0,12.0,15.0,25.0,20.0,3.0,1.0,0.0,0.0,18.0,424.0,700
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,123,1,181.0,99.0,89.0,11.0,9.0,9.0,9.0,20.0,18.0,8.0,1.0,0.0,1.0,23.0,478.0,722
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,124,2,180.0,89.0,138.0,16.0,15.0,7.0,13.0,19.0,19.0,9.0,1.0,0.0,1.0,26.0,533.0,888
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,125,2,188.0,112.0,132.0,7.0,15.0,11.0,13.0,34.0,25.0,4.0,1.0,1.0,4.0,24.0,571.0,921
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,126,7,1172.0,513.0,616.0,69.0,46.0,32.0,85.0,102.0,93.0,20.0,6.0,1.0,5.0,102.0,2862.0,4618
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,127,4,329.0,293.0,272.0,48.0,22.0,17.0,34.0,82.0,82.0,23.0,1.0,1.0,4.0,59.0,1267.0,2274
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,128,2,354.0,118.0,196.0,21.0,16.0,12.0,24.0,28.0,37.0,8.0,2.0,0.0,1.0,42.0,859.0,1378
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,129,1,120.0,40.0,40.0,6.0,2.0,8.0,8.0,7.0,9.0,0.0,0.0,0.0,2.0,6.0,248.0,415
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,130,1,146.0,58.0,59.0,5.0,9.0,12.0,12.0,13.0,15.0,4.0,2.0,0.0,1.0,27.0,363.0,572
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,131,2,153.0,123.0,114.0,17.0,4.0,8.0,26.0,32.0,24.0,7.0,3.0,3.0,1.0,20.0,535.0,822
3,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUAREZ,132,2,124.0,104.0,93.0,10.0,7.0,6.0,28.0,22.0,14.0,2.0,2.0,0.0,0.0,14.0,426.0,760
