CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,193,3,89.0,322.0,18.0,14.0,4.0,16.0,29.0,94.0,15.0,41.0,,10.0,0.0,1.0,21.0,674.0,1673
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,194,3,112.0,247.0,20.0,12.0,13.0,15.0,16.0,135.0,21.0,25.0,,6.0,0.0,0.0,36.0,658.0,1571
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,195,12,692.0,1317.0,110.0,133.0,46.0,73.0,148.0,633.0,89.0,119.0,,45.0,0.0,3.0,195.0,3603.0,8542
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,196,9,513.0,1146.0,70.0,84.0,43.0,68.0,102.0,426.0,67.0,62.0,,38.0,0.0,6.0,167.0,2792.0,6305
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,197,3,115.0,332.0,22.0,25.0,9.0,23.0,25.0,143.0,17.0,18.0,,16.0,0.0,0.0,38.0,783.0,2035
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,198,4,130.0,306.0,23.0,39.0,17.0,22.0,20.0,146.0,29.0,24.0,,12.0,0.0,1.0,62.0,831.0,2375
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,199,4,176.0,422.0,37.0,29.0,15.0,30.0,24.0,163.0,49.0,30.0,,14.0,0.0,2.0,51.0,1042.0,2671
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,200,5,227.0,546.0,46.0,34.0,19.0,29.0,39.0,214.0,35.0,35.0,,21.0,0.0,1.0,81.0,1327.0,3301
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,201,3,195.0,557.0,24.0,42.0,11.0,18.0,12.0,113.0,26.0,39.0,,18.0,0.0,2.0,51.0,1108.0,2215
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,202,4,220.0,495.0,32.0,23.0,23.0,11.0,16.0,138.0,20.0,28.0,,27.0,0.0,0.0,74.0,1107.0,2321
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,203,14,781.0,1594.0,127.0,113.0,71.0,81.0,138.0,702.0,85.0,122.0,,77.0,0.0,4.0,219.0,4114.0,10080
3,23,QUINTANA ROO,1,SOLIDARIDAD,8,SOLIDARIDAD,206,14,154.0,998.0,108.0,92.0,44.0,69.0,93.0,321.0,67.0,91.0,,80.0,0.0,2.0,124.0,2243.0,10416
3,23,QUINTANA ROO,1,SOLIDARIDAD,8,SOLIDARIDAD,208,5,95.0,776.0,109.0,51.0,28.0,28.0,26.0,166.0,17.0,25.0,,29.0,0.0,0.0,73.0,1423.0,3022
3,23,QUINTANA ROO,1,SOLIDARIDAD,8,SOLIDARIDAD,210,5,28.0,937.0,94.0,35.0,25.0,11.0,35.0,247.0,8.0,13.0,,27.0,0.0,1.0,41.0,1502.0,2673
3,23,QUINTANA ROO,1,SOLIDARIDAD,8,SOLIDARIDAD,211,7,34.0,1099.0,79.0,261.0,9.0,13.0,93.0,87.0,13.0,22.0,,25.0,0.0,0.0,105.0,1840.0,2459
3,23,QUINTANA ROO,1,SOLIDARIDAD,8,SOLIDARIDAD,214,1,11.0,61.0,7.0,4.0,0.0,2.0,6.0,41.0,1.0,5.0,,1.0,0.0,0.0,12.0,151.0,360
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,252,2,84.0,263.0,22.0,7.0,2.0,8.0,7.0,30.0,5.0,8.0,,17.0,0.0,0.0,17.0,470.0,919
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,253,2,83.0,186.0,28.0,11.0,6.0,8.0,4.0,26.0,6.0,7.0,,11.0,0.0,0.0,11.0,387.0,781
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,254,1,46.0,219.0,16.0,14.0,3.0,1.0,5.0,14.0,7.0,2.0,,5.0,0.0,0.0,9.0,341.0,687
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,255,3,160.0,480.0,40.0,24.0,12.0,11.0,23.0,59.0,7.0,41.0,,20.0,0.0,1.0,27.0,905.0,1869
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,256,2,103.0,305.0,19.0,17.0,2.0,6.0,9.0,35.0,11.0,14.0,,9.0,0.0,0.0,21.0,551.0,1146
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,257,2,150.0,330.0,23.0,14.0,5.0,13.0,17.0,28.0,6.0,15.0,,23.0,0.0,0.0,21.0,645.0,1300
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,258,5,313.0,885.0,80.0,47.0,11.0,16.0,31.0,103.0,9.0,43.0,,23.0,0.0,0.0,60.0,1621.0,3319
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,259,2,103.0,293.0,30.0,12.0,8.0,9.0,7.0,37.0,7.0,18.0,,7.0,0.0,0.0,18.0,549.0,1199
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,260,1,17.0,47.0,1.0,7.0,1.0,1.0,6.0,14.0,1.0,1.0,,2.0,0.0,0.0,7.0,105.0,211
3,23,QUINTANA ROO,1,SOLIDARIDAD,4,ISLA MUJERES,261,9,199.0,1368.0,105.0,287.0,69.0,47.0,70.0,213.0,54.0,44.0,,125.0,0.0,6.0,130.0,2717.0,6497
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,284,3,41.0,599.0,17.0,32.0,17.0,8.0,39.0,62.0,13.0,151.0,,28.0,0.0,0.0,25.0,1032.0,1516
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,285,2,33.0,565.0,27.0,27.0,15.0,9.0,37.0,60.0,12.0,96.0,,25.0,0.0,0.0,21.0,927.0,1386
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,286,4,77.0,956.0,45.0,69.0,30.0,10.0,66.0,136.0,19.0,187.0,,47.0,0.0,0.0,63.0,1705.0,2625
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,287,3,28.0,343.0,7.0,9.0,9.0,11.0,25.0,29.0,22.0,210.0,,8.0,0.0,0.0,19.0,720.0,1506
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,288,3,28.0,626.0,13.0,17.0,26.0,12.0,33.0,70.0,30.0,217.0,,13.0,0.0,0.0,53.0,1138.0,1873
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,289,2,20.0,256.0,12.0,21.0,26.0,4.0,8.0,40.0,2.0,36.0,,24.0,0.0,0.0,16.0,465.0,755
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,290,3,95.0,395.0,35.0,24.0,11.0,10.0,26.0,281.0,17.0,35.0,,31.0,0.0,0.0,48.0,1008.0,1715
3,23,QUINTANA ROO,1,SOLIDARIDAD,6,LAZARO CARDENAS,291,2,41.0,400.0,27.0,24.0,13.0,3.0,14.0,46.0,10.0,62.0,,22.0,0.0,0.0,13.0,675.0,938
